year,name,team,pos1,pos2,sc_price
2021,"Jenkins, Thomas",PTH,CTW,,893200
2021,"Cleary, Nathan",PTH,HFB,,865500
2021,"Hynes, Nicholas",SHA,HFB,,832800
2021,"Drinkwater, Scott",NQC,FLB,,808700
2021,"Farnworth, Herbie",DOL,CTW,,792200
2021,"Campbell, Jayden",GCT,HFB,,772000
2021,"Haas, Payne",BRO,FRF,,761900
2021,"Young, Hudson",CBR,2RF,,756100
2021,"May, Terrell",WST,FRF,,755400
2021,"Mitchell, Latrell",STH,CTW,,746900
2021,"Walsh, Reece",BRO,FLB,,746800
2021,"Clifford, Jake",NQC,5/8,,745000
2021,"Pearce-Paul, Kai",WST,2RF,,737900
2021,"McLean, Casey",PTH,CTW,,736300
2021,"Doueihi, Adam",WST,HFB,,731000
2021,"Faalogo, Sua",MEL,FLB,,730900
2021,"Katoa, Eliesa",MEL,2RF,,728300
2021,"Edwards, Dylan",PTH,FLB,,721300
2021,"Trbojevic, Tom",MNL,FLB,,720900
2021,"Boyd, Tanah",NZL,HFB,,716300
2021,"Ford, Jackson",NZL,FRF,,714700
2021,"Tedesco, James",SYD,FLB,,714300
2021,"Purdue, Jaxon",NQC,5/8,,712800
2021,"Isaako, Jamayne",DOL,CTW,,710500
2021,"Staggs, Kotoni",BRO,CTW,,695500
2021,"Olakauatu, Haumole",MNL,2RF,,695200
2021,"Tabuai-Fidow, Hamiso",DOL,FLB,,694600
2021,"Nawaqanitawase, Mark",SYD,CTW,,690400
2021,"Hughes, Jahrome",MEL,HFB,,687900
2021,"Averillo, Jake",DOL,CTW,,686100
2021,"Bula, Jahream",WST,FLB,,682700
2021,"Koula, Tolutau",MNL,CTW,,681300
2021,"Toia, Robert",SYD,CTW,,675000
2021,"Johnston, Alex",STH,CTW,,674000
2021,"Lucas, Dylan",NEW,2RF,,672700
2021,"Gagai, Dane",NEW,CTW,,668300
2021,"Sasagi, Simi",CBR,2RF,CTW,666500
2021,"Young, Dominic",NEW,CTW,,666100
2021,"Carrigan, Patrick",BRO,2RF,FRF,665300
2021,"SuA, Jaydn",STG,2RF,,664300
2021,"Twal, Alex",WST,FRF,2RF,662500
2021,"Brailey, Blayke",SHA,HOK,,660900
2021,"Riki, Jordan",BRO,2RF,,658700
