season,round,home_team,away_team,venue,home_score,away_score,home_win,home_lineup_val,away_lineup_val,lineup_delta,home_hi_val,away_hi_val,hi_delta,home_n_players,away_n_players
2024,1,Sea Eagles,Rabbitohs,Allegiant Stadium,36,24,1,6196000.0,6727700.0,-531700.0,1802500.0,2002900.0,-200400.0,18,18
2024,1,Roosters,Broncos,Allegiant Stadium,20,10,1,6292500.0,7207000.0,-914500.0,2767400.0,2332700.0,434700.0,18,18
2024,1,Knights,Raiders,McDonald Jones Stadium,12,28,0,7362600.0,7667600.0,-305000.0,2332800.0,2883300.0,-550500.0,18,18
2024,1,Warriors,Sharks,Go Media Stadium,12,16,0,7120600.0,6829000.0,291600.0,2622100.0,2615700.0,6400.0,18,18
2024,2,Broncos,Rabbitohs,Suncorp Stadium,28,18,1,7207000.0,6115600.0,1091400.0,2332700.0,2002900.0,329800.0,18,18
2024,2,Sharks,Bulldogs,PointsBet Stadium,25,6,1,6747900.0,7759700.0,-1011800.0,2615700.0,2763200.0,-147500.0,18,18
2024,2,Panthers,Eels,BlueBet Stadium,26,18,1,7221800.0,6394400.0,827400.0,2464500.0,1742000.0,722500.0,18,18
2024,2,Raiders,Wests Tigers,GIO Stadium,32,12,1,7613500.0,6701700.0,911800.0,2883300.0,2024300.0,859000.0,18,18
2024,3,Panthers,Broncos,BlueBet Stadium,34,12,1,7217800.0,6275400.0,942400.0,2464500.0,2163000.0,301500.0,18,18
2024,3,Warriors,Raiders,Apollo Projects Stadium,18,10,1,6610900.0,7697000.0,-1086100.0,2112400.0,2883300.0,-770900.0,18,18
2024,3,Roosters,Rabbitohs,Allianz Stadium,48,6,1,6708900.0,7145500.0,-436600.0,2279400.0,2203300.0,76100.0,18,18
2024,3,Bulldogs,Titans,Belmore Sports Ground,32,0,1,7759700.0,7332200.0,427500.0,2763200.0,2731500.0,31700.0,18,18
2024,4,Roosters,Panthers,Allianz Stadium,16,22,0,7562600.0,6720700.0,841900.0,2767400.0,1882500.0,884900.0,18,18
2024,4,Rabbitohs,Bulldogs,Accor Stadium,20,16,1,7534100.0,7759700.0,-225600.0,2726300.0,2763200.0,-36900.0,18,18
2024,4,Broncos,Cowboys,Suncorp Stadium,38,12,1,6676800.0,7939700.0,-1262900.0,2385900.0,2941200.0,-555300.0,18,18
2024,4,Dragons,Sea Eagles,WIN Stadium,20,12,1,5631100.0,5828100.0,-197000.0,1651900.0,1802500.0,-150600.0,18,18
2024,5,Storm,Broncos,AAMI Park,34,32,1,7285300.0,6676800.0,608500.0,2623200.0,2385900.0,237300.0,18,18
2024,5,Bulldogs,Roosters,Accor Stadium,30,26,1,6786600.0,6885800.0,-99200.0,2763200.0,2767400.0,-4200.0,18,18
2024,5,Knights,Dragons,McDonald Jones Stadium,30,10,1,7448000.0,5984000.0,1464000.0,2519100.0,1651900.0,867200.0,18,18
2024,5,Rabbitohs,Warriors,Accor Stadium,4,34,0,7360100.0,5865200.0,1494900.0,2726300.0,2304600.0,421700.0,18,18
2024,6,Knights,Roosters,McDonald Jones Stadium,20,22,0,8120700.0,6990700.0,1130000.0,2519100.0,2833600.0,-314500.0,18,18
2024,6,Storm,Bulldogs,AAMI Park,16,14,1,7285300.0,6839200.0,446100.0,2623200.0,2511900.0,111300.0,18,18
2024,6,Broncos,Dolphins,Suncorp Stadium,28,14,1,6545800.0,6815000.0,-269200.0,2163000.0,2341200.0,-178200.0,18,18
2024,6,Warriors,Sea Eagles,Go Media Stadium,22,22,0,6803100.0,6018500.0,784600.0,2304600.0,1802500.0,502100.0,18,18
2024,7,Roosters,Storm,Allianz Stadium,12,18,0,6984400.0,7201200.0,-216800.0,2747900.0,2623200.0,124700.0,18,18
2024,7,Dragons,Warriors,WIN Stadium,30,12,1,5612900.0,6803100.0,-1190200.0,1651900.0,2304600.0,-652700.0,18,18
2024,7,Eels,Dolphins,TIO Stadium,16,44,0,6934100.0,7523800.0,-589700.0,2281700.0,2206000.0,75700.0,18,18
