season,round,match_slug,home_nickname,away_nickname,match_id,referee
2024,1,sea-eagles-v-rabbitohs,Sea Eagles,Rabbitohs,,Ashley Klein
2024,1,roosters-v-broncos,Roosters,Broncos,,Adam Gee
2024,1,knights-v-raiders,Knights,Raiders,,Todd Smith
2024,1,warriors-v-sharks,Warriors,Sharks,,Peter Gough
2024,1,storm-v-panthers,Storm,Panthers,,Gerard Sutton
2024,1,eels-v-bulldogs,Eels,Bulldogs,,Grant Atkins
2024,1,titans-v-dragons,Titans,Dragons,,Ziggy Przeklasa-Adamski
2024,1,dolphins-v-cowboys,Dolphins,Cowboys,,Chris Butler
2025,1,raiders-v-warriors,Raiders,Warriors,,Grant Atkins
2025,1,panthers-v-sharks,Panthers,Sharks,,Ashley Klein
2025,1,wests-tigers-v-knights,Wests Tigers,Knights,,Liam Kennedy
2025,1,dolphins-v-rabbitohs,Rabbitohs,Dolphins,,Adam Gee
2025,1,dragons-v-bulldogs,Dragons,Bulldogs,,Todd Smith
2025,1,sea-eagles-v-cowboys,Sea Eagles,Cowboys,,Peter Gough
2025,1,storm-v-eels,Storm,Eels,,Wyatt Raymond
2021,1,storm-v-rabbitohs,Storm,Rabbitohs,,Grant Atkins
2021,1,knights-v-bulldogs,Knights,Bulldogs,,Ben Cummins
2021,1,broncos-v-eels,Broncos,Eels,,Adam Gee
2021,1,warriors-v-titans,Warriors,Titans,,Ashley Klein
2021,1,roosters-v-sea-eagles,Roosters,Sea Eagles,,Chris Sutton
2021,1,panthers-v-cowboys,Panthers,Cowboys,,Matt Cecchin
2021,1,raiders-v-wests-tigers,Raiders,Wests Tigers,,Gerard Sutton
2021,1,dragons-v-sharks,Dragons,Sharks,,Peter Gough
2021,2,eels-v-storm,Eels,Storm,,Ashley Klein
2021,2,warriors-v-knights,Warriors,Knights,,Grant Atkins
2021,2,titans-v-broncos,Titans,Broncos,,Matt Cecchin
2021,2,bulldogs-v-panthers,Bulldogs,Panthers,,Peter Gough
2021,2,cowboys-v-dragons,Cowboys,Dragons,,Ben Cummins
2021,2,wests-tigers-v-roosters,Wests Tigers,Roosters,,Adam Gee
2021,2,sharks-v-raiders,Sharks,Raiders,,Chris Sutton
2021,3,panthers-v-storm,Panthers,Storm,,Grant Atkins
2021,3,dragons-v-sea-eagles,Dragons,Sea Eagles,,Chris Sutton
2021,3,rabbitohs-v-roosters,Rabbitohs,Roosters,,Ashley Klein
2021,3,broncos-v-bulldogs,Broncos,Bulldogs,,Ben Cummins
2021,3,eels-v-sharks,Eels,Sharks,,Adam Gee
2021,3,knights-v-wests-tigers,Knights,Wests Tigers,,Gerard Sutton
2021,3,cowboys-v-titans,Cowboys,Titans,,Peter Gough
2021,4,sea-eagles-v-panthers,Sea Eagles,Panthers,,Matt Cecchin
2021,4,bulldogs-v-rabbitohs,Bulldogs,Rabbitohs,,Grant Atkins
2021,4,storm-v-broncos,Storm,Broncos,,Gerard Sutton
2021,4,sharks-v-cowboys,Sharks,Cowboys,,Chris Sutton
2021,4,titans-v-raiders,Titans,Raiders,,Adam Gee
2021,4,knights-v-dragons,Knights,Dragons,,Peter Gough
2021,4,roosters-v-warriors,Roosters,Warriors,,Ben Cummins
2021,4,wests-tigers-v-eels,Wests Tigers,Eels,,Ashley Klein
2021,5,rabbitohs-v-broncos,Rabbitohs,Broncos,,Ben Cummins
2021,5,warriors-v-sea-eagles,Warriors,Sea Eagles,,Chris Butler
2021,5,panthers-v-raiders,Panthers,Raiders,,Gerard Sutton
2021,5,titans-v-knights,Titans,Knights,,Ashley Klein
2021,5,bulldogs-v-storm,Bulldogs,Storm,,Chris Sutton
2021,5,roosters-v-sharks,Roosters,Sharks,,Adam Gee
2021,5,wests-tigers-v-cowboys,Wests Tigers,Cowboys,,Matt Cecchin
2021,5,eels-v-dragons,Eels,Dragons,,Grant Atkins
2021,6,broncos-v-panthers,Broncos,Panthers,,Grant Atkins
2021,6,knights-v-sharks,Knights,Sharks,,Matt Cecchin
2021,6,storm-v-roosters,Storm,Roosters,,Adam Gee
2021,6,sea-eagles-v-titans,Sea Eagles,Titans,,Chris Butler
2021,6,rabbitohs-v-wests-tigers,Rabbitohs,Wests Tigers,,Gerard Sutton
2021,6,raiders-v-eels,Raiders,Eels,,Ben Cummins
2021,6,dragons-v-warriors,Dragons,Warriors,,Chris Sutton
2021,6,cowboys-v-bulldogs,Cowboys,Bulldogs,,Ashley Klein
2021,7,panthers-v-knights,Panthers,Knights,,Gerard Sutton
2021,7,titans-v-rabbitohs,Titans,Rabbitohs,,Chris Sutton
2021,7,eels-v-broncos,Eels,Broncos,,Grant Atkins
2021,7,sharks-v-bulldogs,Sharks,Bulldogs,,Chris Butler
2021,7,cowboys-v-raiders,Cowboys,Raiders,,Peter Gough
2021,7,wests-tigers-v-sea-eagles,Wests Tigers,Sea Eagles,,Adam Gee
2021,7,roosters-v-dragons,Roosters,Dragons,,Ashley Klein
2021,7,storm-v-warriors,Storm,Warriors,,Matt Cecchin
2021,8,raiders-v-rabbitohs,Raiders,Rabbitohs,,Ben Cummins
2021,8,storm-v-sharks,Storm,Sharks,,Gerard Sutton
2021,8,broncos-v-titans,Broncos,Titans,,Adam Gee
2021,8,panthers-v-sea-eagles,Panthers,Sea Eagles,,Ashley Klein
